Neuron 0 → max=20.5010, min=0.0000, thr=18.4509
   Video 17, Frame 125, Value 21.0752
   Video 19, Frame 187, Value 19.9693
   Video 19, Frame 201, Value 20.1173
   Video 27, Frame 110, Value 20.1255
   Video 27, Frame 113, Value 20.1871
   Video 27, Frame 114, Value 20.3588
   Video 27, Frame 115, Value 22.0406
   Video 27, Frame 116, Value 20.7509
   Video 27, Frame 117, Value 20.1821
   Video 27, Frame 118, Value 21.1106
   Video 27, Frame 135, Value 20.4978
   Video 27, Frame 137, Value 20.2132
   Video 27, Frame 138, Value 20.0646
   Video 27, Frame 140, Value 20.0668
   Video 27, Frame 141, Value 20.7963
   Video 27, Frame 142, Value 20.9229
   Video 27, Frame 143, Value 20.4900
   Video 27, Frame 145, Value 19.9474
   Video 27, Frame 159, Value 20.0035
   Video 27, Frame 160, Value 20.7054
   Video 27, Frame 161, Value 20.6553
   Video 27, Frame 185, Value 20.3024
   Video 27, Frame 187, Value 20.7245
   Video 27, Frame 189, Value 20.1028
   Video 34, Frame 136, Value 19.9368
   Video 34, Frame 141, Value 19.9800
   Video 34, Frame 261, Value 19.8830
   Video 37, Frame 143, Value 20.2502
   Video 37, Frame 145, Value 20.0608
   Video 37, Frame 146, Value 20.1477
   Video 37, Frame 154, Value 20.1177
   Video 37, Frame 155, Value 20.1013
   Video 37, Frame 611, Value 20.1673
--------------------------------------------------
Neuron 22 → max=28.8216, min=0.0000, thr=25.9395
   Video 20, Frame 61, Value 26.1594
   Video 20, Frame 63, Value 25.9947
   Video 20, Frame 65, Value 27.5122
   Video 20, Frame 66, Value 27.2977
   Video 20, Frame 67, Value 26.6766
   Video 20, Frame 68, Value 28.5625
   Video 20, Frame 69, Value 28.8216
   Video 20, Frame 70, Value 28.4517
   Video 20, Frame 71, Value 27.7028
   Video 20, Frame 72, Value 28.1495
   Video 20, Frame 73, Value 28.3753
   Video 20, Frame 74, Value 28.4836
   Video 20, Frame 75, Value 28.3616
   Video 20, Frame 76, Value 27.8159
   Video 20, Frame 77, Value 28.4360
   Video 20, Frame 78, Value 28.0845
   Video 20, Frame 79, Value 26.2623
--------------------------------------------------
Neuron 23 → max=23.7764, min=0.0000, thr=21.3988
   Video 9, Frame 118, Value 21.5333
   Video 10, Frame 288, Value 21.9247
   Video 10, Frame 291, Value 22.0980
   Video 10, Frame 292, Value 21.9596
   Video 10, Frame 293, Value 22.0423
   Video 10, Frame 295, Value 22.6115
   Video 10, Frame 296, Value 22.7319
   Video 17, Frame 92, Value 21.6780
   Video 17, Frame 97, Value 21.5424
   Video 17, Frame 98, Value 21.6397
   Video 17, Frame 100, Value 21.8007
   Video 17, Frame 109, Value 21.7556
   Video 17, Frame 113, Value 21.8932
   Video 17, Frame 121, Value 21.7267
   Video 17, Frame 122, Value 22.2079
   Video 17, Frame 123, Value 22.5860
   Video 17, Frame 124, Value 22.3939
   Video 17, Frame 125, Value 22.6993
   Video 17, Frame 131, Value 21.5608
   Video 17, Frame 227, Value 21.4098
   Video 17, Frame 235, Value 21.8096
   Video 27, Frame 116, Value 21.4008
   Video 27, Frame 118, Value 22.0291
   Video 27, Frame 177, Value 21.8179
   Video 27, Frame 185, Value 21.9606
   Video 27, Frame 186, Value 21.5507
   Video 27, Frame 187, Value 22.0992
   Video 27, Frame 188, Value 21.5803
   Video 27, Frame 189, Value 21.7619
   Video 27, Frame 190, Value 21.8140
   Video 27, Frame 330, Value 22.0446
   Video 27, Frame 331, Value 21.4407
   Video 30, Frame 306, Value 21.5177
   Video 30, Frame 320, Value 22.1080
   Video 34, Frame 261, Value 22.5182
   Video 34, Frame 262, Value 21.6789
   Video 34, Frame 263, Value 22.7848
   Video 34, Frame 264, Value 22.1540
   Video 34, Frame 265, Value 23.6639
   Video 34, Frame 266, Value 22.4548
   Video 34, Frame 267, Value 23.7764
   Video 34, Frame 268, Value 22.1485
   Video 34, Frame 269, Value 22.2200
   Video 34, Frame 270, Value 21.8600
   Video 34, Frame 271, Value 23.0727
   Video 34, Frame 274, Value 21.4677
   Video 34, Frame 275, Value 21.7199
   Video 34, Frame 277, Value 21.8098
   Video 34, Frame 278, Value 22.4604
   Video 34, Frame 279, Value 21.9728
   Video 34, Frame 280, Value 21.9597
   Video 34, Frame 281, Value 21.4372
   Video 34, Frame 284, Value 21.5392
   Video 34, Frame 290, Value 21.5018
   Video 34, Frame 292, Value 22.5122
   Video 34, Frame 294, Value 21.7631
   Video 34, Frame 295, Value 21.6556
   Video 34, Frame 296, Value 21.5991
   Video 37, Frame 125, Value 21.6398
   Video 37, Frame 143, Value 21.7800
   Video 37, Frame 145, Value 21.9392
   Video 37, Frame 146, Value 21.4002
   Video 37, Frame 148, Value 21.4052
   Video 37, Frame 155, Value 21.4363
   Video 37, Frame 331, Value 21.5909
   Video 37, Frame 355, Value 21.7602
   Video 37, Frame 357, Value 21.5504
   Video 37, Frame 374, Value 21.9499
   Video 37, Frame 375, Value 22.0005
   Video 37, Frame 383, Value 21.8837
--------------------------------------------------
Neuron 24 → max=20.7768, min=0.0000, thr=18.6991
   Video 2, Frame 1312, Value 18.7420
   Video 8, Frame 410, Value 19.3737
   Video 8, Frame 452, Value 18.8880
   Video 8, Frame 453, Value 18.9021
   Video 8, Frame 456, Value 19.4811
   Video 8, Frame 457, Value 19.0256
   Video 8, Frame 458, Value 18.8351
   Video 8, Frame 460, Value 19.6726
   Video 8, Frame 465, Value 19.3572
   Video 8, Frame 471, Value 18.7277
   Video 8, Frame 472, Value 19.6246
   Video 8, Frame 473, Value 19.1418
   Video 8, Frame 474, Value 19.5539
   Video 8, Frame 475, Value 19.6725
   Video 8, Frame 476, Value 19.0712
   Video 8, Frame 486, Value 18.8714
   Video 8, Frame 488, Value 18.7898
   Video 8, Frame 535, Value 18.8367
   Video 8, Frame 538, Value 18.7469
   Video 8, Frame 541, Value 18.8142
   Video 8, Frame 544, Value 18.8247
   Video 8, Frame 547, Value 18.7705
   Video 9, Frame 201, Value 18.8252
   Video 9, Frame 261, Value 19.5488
   Video 9, Frame 264, Value 19.3281
   Video 9, Frame 265, Value 19.4734
   Video 9, Frame 266, Value 19.0800
   Video 9, Frame 267, Value 19.2081
   Video 9, Frame 268, Value 19.5362
   Video 9, Frame 269, Value 20.7768
   Video 9, Frame 270, Value 19.9909
   Video 9, Frame 271, Value 20.4692
   Video 9, Frame 272, Value 20.4431
   Video 9, Frame 273, Value 19.9753
   Video 9, Frame 274, Value 19.9222
   Video 9, Frame 275, Value 19.3771
   Video 9, Frame 277, Value 18.9053
   Video 9, Frame 278, Value 19.3637
   Video 9, Frame 279, Value 20.0837
   Video 9, Frame 283, Value 19.0690
   Video 9, Frame 284, Value 19.4618
   Video 9, Frame 285, Value 19.3589
   Video 9, Frame 286, Value 19.0218
   Video 9, Frame 287, Value 18.9158
   Video 9, Frame 288, Value 19.4986
   Video 9, Frame 289, Value 19.1657
   Video 9, Frame 290, Value 19.7183
   Video 9, Frame 292, Value 19.2423
   Video 9, Frame 309, Value 18.7689
   Video 9, Frame 325, Value 19.1175
   Video 9, Frame 328, Value 19.6539
   Video 9, Frame 329, Value 19.5388
   Video 9, Frame 330, Value 19.9007
   Video 9, Frame 335, Value 19.6047
   Video 9, Frame 336, Value 19.4666
   Video 9, Frame 1322, Value 18.7916
   Video 10, Frame 295, Value 18.9527
   Video 10, Frame 296, Value 18.9103
   Video 10, Frame 336, Value 18.7862
   Video 15, Frame 350, Value 18.9247
   Video 15, Frame 419, Value 19.0897
   Video 21, Frame 321, Value 18.7644
   Video 31, Frame 483, Value 18.7412
   Video 31, Frame 485, Value 19.3589
   Video 31, Frame 489, Value 19.6724
   Video 31, Frame 493, Value 19.2092
   Video 31, Frame 494, Value 18.7771
   Video 33, Frame 370, Value 19.2991
   Video 33, Frame 371, Value 18.9470
   Video 33, Frame 372, Value 19.0441
   Video 33, Frame 375, Value 19.0688
   Video 34, Frame 260, Value 18.7888
   Video 34, Frame 261, Value 19.7623
   Video 34, Frame 262, Value 18.9925
   Video 34, Frame 263, Value 19.1292
   Video 34, Frame 264, Value 18.8548
   Video 34, Frame 265, Value 19.3310
   Video 34, Frame 266, Value 19.2718
   Video 34, Frame 267, Value 19.6035
   Video 34, Frame 268, Value 19.6682
   Video 34, Frame 269, Value 19.4394
   Video 34, Frame 270, Value 19.9036
   Video 34, Frame 271, Value 20.1096
   Video 34, Frame 274, Value 19.0584
   Video 34, Frame 275, Value 19.1640
   Video 34, Frame 276, Value 18.9952
   Video 34, Frame 277, Value 19.3473
   Video 34, Frame 278, Value 20.2512
   Video 34, Frame 279, Value 19.3469
   Video 34, Frame 280, Value 19.6858
   Video 34, Frame 284, Value 19.2192
   Video 34, Frame 286, Value 18.7839
   Video 34, Frame 288, Value 18.7331
   Video 34, Frame 292, Value 20.1932
   Video 34, Frame 294, Value 20.1556
   Video 34, Frame 295, Value 19.5307
   Video 34, Frame 371, Value 19.2110
   Video 34, Frame 372, Value 19.2328
   Video 34, Frame 373, Value 19.2010
   Video 34, Frame 374, Value 19.0026
   Video 34, Frame 377, Value 19.7945
   Video 34, Frame 378, Value 19.5633
   Video 34, Frame 379, Value 19.4019
   Video 34, Frame 380, Value 18.7986
   Video 34, Frame 381, Value 20.0123
   Video 34, Frame 382, Value 20.0891
   Video 34, Frame 383, Value 19.4056
   Video 34, Frame 387, Value 20.0942
   Video 34, Frame 388, Value 18.7691
   Video 34, Frame 389, Value 19.3603
   Video 34, Frame 390, Value 20.1387
   Video 34, Frame 391, Value 19.4249
   Video 34, Frame 392, Value 19.6217
   Video 34, Frame 393, Value 20.1276
   Video 34, Frame 394, Value 19.2439
   Video 34, Frame 395, Value 19.6615
   Video 34, Frame 396, Value 19.9546
   Video 34, Frame 397, Value 20.3994
   Video 34, Frame 398, Value 20.6164
   Video 34, Frame 399, Value 20.1118
   Video 34, Frame 400, Value 19.7150
   Video 34, Frame 404, Value 19.3183
   Video 34, Frame 413, Value 18.8794
   Video 34, Frame 416, Value 19.5033
   Video 34, Frame 417, Value 19.0072
   Video 34, Frame 418, Value 19.4501
   Video 34, Frame 419, Value 19.6941
   Video 34, Frame 420, Value 19.5475
   Video 34, Frame 422, Value 20.3930
   Video 34, Frame 423, Value 18.8522
   Video 34, Frame 424, Value 20.1855
   Video 34, Frame 425, Value 19.1538
   Video 34, Frame 426, Value 19.7063
   Video 34, Frame 427, Value 19.3856
   Video 34, Frame 428, Value 20.1095
   Video 34, Frame 429, Value 20.0950
   Video 34, Frame 430, Value 20.1022
   Video 34, Frame 431, Value 19.2203
   Video 34, Frame 432, Value 20.3260
   Video 34, Frame 435, Value 19.6096
   Video 34, Frame 436, Value 20.2209
   Video 34, Frame 437, Value 20.0112
   Video 34, Frame 438, Value 18.7748
   Video 34, Frame 440, Value 18.9244
   Video 34, Frame 467, Value 18.7331
   Video 34, Frame 490, Value 18.7362
   Video 34, Frame 491, Value 19.2839
   Video 34, Frame 492, Value 19.5984
   Video 34, Frame 493, Value 19.6896
   Video 34, Frame 498, Value 18.7437
   Video 34, Frame 499, Value 20.4777
   Video 34, Frame 508, Value 19.5397
   Video 34, Frame 512, Value 18.8831
   Video 34, Frame 520, Value 18.7891
   Video 34, Frame 524, Value 19.3460
   Video 34, Frame 525, Value 19.1411
   Video 34, Frame 526, Value 19.6629
   Video 34, Frame 699, Value 18.7154
   Video 37, Frame 330, Value 18.8944
   Video 37, Frame 331, Value 19.1559
   Video 37, Frame 332, Value 19.0836
   Video 37, Frame 334, Value 18.7199
   Video 37, Frame 335, Value 18.8491
   Video 37, Frame 336, Value 19.5995
   Video 37, Frame 337, Value 20.7753
   Video 37, Frame 338, Value 20.1459
   Video 37, Frame 339, Value 20.4054
   Video 37, Frame 340, Value 19.1342
   Video 37, Frame 342, Value 18.8009
   Video 37, Frame 343, Value 19.2000
   Video 37, Frame 344, Value 20.1826
   Video 37, Frame 345, Value 20.6870
   Video 37, Frame 346, Value 20.4972
   Video 37, Frame 347, Value 20.5638
   Video 37, Frame 351, Value 18.8527
   Video 37, Frame 352, Value 18.7384
   Video 37, Frame 353, Value 19.4430
   Video 37, Frame 355, Value 20.4013
   Video 37, Frame 356, Value 19.2452
   Video 37, Frame 357, Value 19.6343
   Video 37, Frame 360, Value 19.1612
   Video 37, Frame 361, Value 18.9635
   Video 37, Frame 363, Value 19.4697
   Video 37, Frame 366, Value 18.9064
   Video 37, Frame 367, Value 19.1345
   Video 37, Frame 368, Value 19.7401
   Video 37, Frame 369, Value 19.3114
   Video 37, Frame 370, Value 19.5462
   Video 37, Frame 371, Value 20.0722
   Video 37, Frame 372, Value 20.0589
   Video 37, Frame 373, Value 20.1747
   Video 37, Frame 374, Value 20.6527
   Video 37, Frame 375, Value 19.5341
   Video 37, Frame 379, Value 19.6693
   Video 37, Frame 380, Value 19.0891
   Video 37, Frame 381, Value 19.4125
   Video 37, Frame 382, Value 19.9721
   Video 37, Frame 383, Value 19.8302
   Video 37, Frame 387, Value 19.5061
   Video 37, Frame 388, Value 18.8228
   Video 37, Frame 389, Value 18.9871
   Video 37, Frame 390, Value 18.7680
   Video 37, Frame 391, Value 19.6999
   Video 37, Frame 392, Value 19.5924
   Video 37, Frame 395, Value 19.2195
   Video 37, Frame 406, Value 18.9709
   Video 37, Frame 407, Value 19.2415
   Video 37, Frame 408, Value 19.3117
   Video 37, Frame 409, Value 19.3583
   Video 37, Frame 424, Value 19.2614
   Video 37, Frame 579, Value 19.2815
   Video 37, Frame 581, Value 19.2388
   Video 37, Frame 583, Value 18.7634
   Video 37, Frame 584, Value 19.0916
   Video 37, Frame 585, Value 18.8815
   Video 37, Frame 586, Value 19.6134
   Video 37, Frame 587, Value 20.4282
   Video 37, Frame 591, Value 19.0759
   Video 37, Frame 592, Value 18.9857
   Video 37, Frame 593, Value 19.9415
   Video 37, Frame 594, Value 19.0495
   Video 37, Frame 595, Value 19.1877
   Video 37, Frame 598, Value 19.5897
   Video 37, Frame 599, Value 19.8550
   Video 37, Frame 601, Value 19.4457
   Video 37, Frame 603, Value 19.6304
   Video 37, Frame 606, Value 19.0223
   Video 37, Frame 611, Value 19.8583
   Video 37, Frame 612, Value 19.0211
   Video 37, Frame 613, Value 19.3628
   Video 37, Frame 614, Value 19.0060
   Video 37, Frame 914, Value 19.0102
   Video 37, Frame 916, Value 19.1051
   Video 39, Frame 790, Value 18.9162
--------------------------------------------------
Neuron 25 → max=16.5045, min=0.0000, thr=14.8540
   Video 4, Frame 2134, Value 15.0341
   Video 4, Frame 2135, Value 14.8573
   Video 4, Frame 2136, Value 14.9932
   Video 4, Frame 2137, Value 15.0474
   Video 4, Frame 2138, Value 14.8963
   Video 4, Frame 2139, Value 15.1692
   Video 4, Frame 2145, Value 15.4150
   Video 4, Frame 2147, Value 14.8969
   Video 4, Frame 2149, Value 15.3500
   Video 4, Frame 2150, Value 15.5875
   Video 4, Frame 2151, Value 15.5957
   Video 4, Frame 2152, Value 15.6683
   Video 4, Frame 2154, Value 14.9745
   Video 4, Frame 2156, Value 15.5105
   Video 4, Frame 2158, Value 14.9744
   Video 4, Frame 2162, Value 14.9688
   Video 4, Frame 2165, Value 14.9042
   Video 4, Frame 2168, Value 15.1821
   Video 4, Frame 2169, Value 14.9709
   Video 4, Frame 2170, Value 15.1808
   Video 4, Frame 2172, Value 14.9239
   Video 4, Frame 2173, Value 15.2098
   Video 4, Frame 2182, Value 14.9044
   Video 4, Frame 2196, Value 15.0086
   Video 4, Frame 2198, Value 14.9947
   Video 4, Frame 2199, Value 15.8445
   Video 4, Frame 2200, Value 15.7728
   Video 4, Frame 2201, Value 16.1080
   Video 4, Frame 2202, Value 15.6400
   Video 4, Frame 2203, Value 16.2167
   Video 4, Frame 2204, Value 16.2285
   Video 4, Frame 2205, Value 16.3885
   Video 4, Frame 2206, Value 15.7044
   Video 4, Frame 2207, Value 15.8568
   Video 4, Frame 2208, Value 15.8395
   Video 4, Frame 2209, Value 16.5045
   Video 9, Frame 1661, Value 15.2348
   Video 9, Frame 1662, Value 15.1091
   Video 9, Frame 1663, Value 15.0497
   Video 9, Frame 1664, Value 15.4701
   Video 9, Frame 1665, Value 15.4532
   Video 9, Frame 1666, Value 15.0132
   Video 9, Frame 1668, Value 15.1609
   Video 9, Frame 1669, Value 15.0178
   Video 9, Frame 1670, Value 15.2897
   Video 9, Frame 1671, Value 15.1080
--------------------------------------------------
Neuron 26 → max=8.2620, min=0.0000, thr=7.4358
   Video 6, Frame 697, Value 7.7926
   Video 6, Frame 698, Value 7.5862
   Video 6, Frame 701, Value 7.8231
   Video 15, Frame 1459, Value 7.5009
   Video 15, Frame 1464, Value 8.2495
   Video 15, Frame 1465, Value 7.8298
   Video 15, Frame 1466, Value 7.5554
   Video 15, Frame 1467, Value 7.6202
   Video 15, Frame 1468, Value 8.0792
   Video 15, Frame 1469, Value 7.9143
   Video 15, Frame 1470, Value 7.7151
   Video 15, Frame 1471, Value 7.5826
   Video 15, Frame 1472, Value 7.4862
   Video 15, Frame 1485, Value 7.4804
   Video 15, Frame 1492, Value 7.4965
   Video 20, Frame 856, Value 7.9988
   Video 20, Frame 909, Value 7.4710
   Video 21, Frame 594, Value 8.2620
   Video 21, Frame 595, Value 7.6730
   Video 21, Frame 596, Value 7.8704
   Video 21, Frame 598, Value 7.8922
   Video 21, Frame 599, Value 7.8911
   Video 21, Frame 600, Value 7.9754
   Video 21, Frame 601, Value 8.1477
   Video 21, Frame 602, Value 7.8993
   Video 21, Frame 603, Value 8.0398
   Video 21, Frame 604, Value 7.5170
   Video 21, Frame 607, Value 7.4812
   Video 21, Frame 608, Value 7.5115
   Video 21, Frame 609, Value 7.4578
   Video 21, Frame 611, Value 7.6159
   Video 21, Frame 612, Value 7.5053
   Video 39, Frame 1419, Value 7.4365
   Video 39, Frame 1420, Value 7.4438
   Video 39, Frame 1422, Value 7.5262
   Video 39, Frame 1425, Value 7.5460
   Video 39, Frame 1426, Value 7.5018
   Video 39, Frame 1428, Value 7.5353
   Video 39, Frame 1430, Value 7.5838
--------------------------------------------------
Neuron 27 → max=15.0403, min=0.0000, thr=13.5363
   Video 9, Frame 1669, Value 13.6813
   Video 9, Frame 1670, Value 14.2837
   Video 9, Frame 1671, Value 13.9871
   Video 9, Frame 1673, Value 14.6626
   Video 9, Frame 1674, Value 15.0403
   Video 9, Frame 1675, Value 13.6554
   Video 9, Frame 1677, Value 13.8375
   Video 9, Frame 1678, Value 14.1268
   Video 9, Frame 1686, Value 13.9568
   Video 9, Frame 1689, Value 14.3476
   Video 9, Frame 1691, Value 13.7989
   Video 9, Frame 1697, Value 14.4356
   Video 9, Frame 1698, Value 14.2170
   Video 9, Frame 1699, Value 14.2355
   Video 9, Frame 1701, Value 13.9391
   Video 9, Frame 1705, Value 13.8549
   Video 19, Frame 1330, Value 13.5610
   Video 19, Frame 1331, Value 14.0526
   Video 19, Frame 1332, Value 14.5586
   Video 19, Frame 1333, Value 13.9709
   Video 19, Frame 1334, Value 14.2696
   Video 19, Frame 1335, Value 14.0970
   Video 19, Frame 1336, Value 14.1100
   Video 19, Frame 1337, Value 14.5068
   Video 19, Frame 1338, Value 14.2908
   Video 19, Frame 1339, Value 14.4020
   Video 19, Frame 1344, Value 13.5411
   Video 19, Frame 1345, Value 13.7858
   Video 19, Frame 1366, Value 14.5298
   Video 19, Frame 1367, Value 14.2318
   Video 19, Frame 1368, Value 14.0040
   Video 21, Frame 1349, Value 14.2717
   Video 21, Frame 1351, Value 14.1486
   Video 21, Frame 1352, Value 13.6814
   Video 21, Frame 1353, Value 13.8758
   Video 21, Frame 1355, Value 14.5307
   Video 21, Frame 1356, Value 14.3452
   Video 21, Frame 1357, Value 13.5501
   Video 21, Frame 1358, Value 14.1334
   Video 21, Frame 1359, Value 14.3195
   Video 21, Frame 1360, Value 13.8262
   Video 21, Frame 1361, Value 14.0503
   Video 21, Frame 1362, Value 14.1778
   Video 21, Frame 1363, Value 14.6811
   Video 21, Frame 1364, Value 13.6722
   Video 21, Frame 1365, Value 13.7060
   Video 21, Frame 1366, Value 13.9219
   Video 21, Frame 1372, Value 13.7380
   Video 21, Frame 1391, Value 13.9153
   Video 21, Frame 1393, Value 13.5618
   Video 21, Frame 1395, Value 14.0558
   Video 29, Frame 2638, Value 13.8076
   Video 29, Frame 2639, Value 13.7657
   Video 29, Frame 2641, Value 13.7971
   Video 29, Frame 2642, Value 13.9622
   Video 29, Frame 2643, Value 13.8175
   Video 29, Frame 2644, Value 13.7337
   Video 29, Frame 2645, Value 13.7884
   Video 29, Frame 2646, Value 13.6234
   Video 29, Frame 2676, Value 13.6144
   Video 29, Frame 2678, Value 13.7406
   Video 29, Frame 2679, Value 13.5668
--------------------------------------------------
Neuron 28 → max=16.1795, min=0.0000, thr=14.5615
   Video 6, Frame 3292, Value 14.5799
   Video 6, Frame 3300, Value 14.7917
   Video 6, Frame 3305, Value 15.0185
   Video 6, Frame 3308, Value 14.8836
   Video 8, Frame 2234, Value 14.8194
   Video 19, Frame 781, Value 14.7758
   Video 19, Frame 783, Value 14.9660
   Video 19, Frame 797, Value 14.9724
   Video 19, Frame 799, Value 14.5741
   Video 19, Frame 805, Value 14.7498
   Video 19, Frame 809, Value 15.6002
   Video 19, Frame 811, Value 14.6739
   Video 19, Frame 812, Value 15.4164
   Video 19, Frame 813, Value 16.1595
   Video 19, Frame 818, Value 14.5651
   Video 19, Frame 819, Value 15.2099
   Video 19, Frame 820, Value 14.8058
   Video 19, Frame 825, Value 15.0736
   Video 19, Frame 826, Value 14.8781
   Video 19, Frame 827, Value 15.8838
   Video 21, Frame 988, Value 14.9130
   Video 35, Frame 2074, Value 14.8650
   Video 35, Frame 2075, Value 16.1795
   Video 35, Frame 2077, Value 14.8214
--------------------------------------------------
Neuron 29 → max=16.6497, min=0.0000, thr=14.9847
   Video 9, Frame 1661, Value 15.2111
   Video 9, Frame 1662, Value 15.2893
   Video 9, Frame 1663, Value 15.3251
   Video 9, Frame 1664, Value 15.5811
   Video 9, Frame 1665, Value 15.4203
   Video 9, Frame 1666, Value 15.2849
   Video 9, Frame 1668, Value 15.3442
   Video 9, Frame 1669, Value 15.7956
   Video 9, Frame 1670, Value 16.3535
   Video 9, Frame 1671, Value 16.6497
   Video 9, Frame 1673, Value 16.4270
   Video 9, Frame 1674, Value 16.1722
--------------------------------------------------
Neuron 30 → max=15.4559, min=0.0000, thr=13.9103
   Video 4, Frame 2006, Value 14.3890
   Video 4, Frame 2007, Value 14.3433
   Video 4, Frame 2008, Value 14.0152
   Video 4, Frame 2009, Value 14.8014
   Video 4, Frame 2011, Value 15.1900
   Video 4, Frame 2012, Value 14.7873
   Video 4, Frame 2013, Value 15.1850
   Video 4, Frame 2014, Value 14.5037
   Video 4, Frame 2015, Value 14.0556
   Video 4, Frame 2016, Value 14.1013
   Video 4, Frame 2203, Value 14.2138
   Video 4, Frame 2204, Value 14.2995
   Video 4, Frame 2205, Value 13.9351
   Video 4, Frame 2207, Value 14.0188
   Video 4, Frame 2208, Value 14.0808
   Video 4, Frame 2209, Value 14.3872
   Video 8, Frame 2658, Value 14.3940
   Video 8, Frame 2659, Value 13.9951
   Video 8, Frame 2661, Value 13.9588
   Video 8, Frame 2662, Value 14.0249
   Video 8, Frame 2663, Value 14.7144
   Video 9, Frame 1658, Value 14.1188
   Video 9, Frame 1660, Value 14.0806
   Video 9, Frame 1661, Value 14.6073
   Video 9, Frame 1662, Value 14.7487
   Video 9, Frame 1663, Value 14.7553
   Video 9, Frame 1664, Value 14.6112
   Video 9, Frame 1665, Value 14.5148
   Video 9, Frame 1666, Value 14.0190
   Video 9, Frame 1668, Value 14.4646
   Video 9, Frame 1669, Value 14.9075
   Video 9, Frame 1670, Value 15.4559
   Video 9, Frame 1671, Value 14.7634
   Video 9, Frame 1673, Value 15.2213
   Video 9, Frame 1674, Value 14.8678
   Video 19, Frame 1428, Value 14.8167
   Video 19, Frame 1429, Value 14.6621
   Video 19, Frame 1430, Value 15.0101
   Video 19, Frame 1431, Value 14.7828
   Video 19, Frame 1432, Value 14.3216
   Video 19, Frame 1433, Value 14.5604
   Video 19, Frame 1434, Value 14.7732
   Video 19, Frame 1435, Value 14.7080
   Video 19, Frame 1436, Value 14.0068
--------------------------------------------------
Neuron 31 → max=15.4963, min=0.0000, thr=13.9467
   Video 6, Frame 2802, Value 13.9544
   Video 6, Frame 2808, Value 14.6727
   Video 6, Frame 2809, Value 14.2724
   Video 6, Frame 2810, Value 15.0391
   Video 6, Frame 2811, Value 15.4963
   Video 6, Frame 2812, Value 15.1134
   Video 6, Frame 2813, Value 14.1772
   Video 6, Frame 2816, Value 14.2478
   Video 6, Frame 2817, Value 14.0463
   Video 6, Frame 3337, Value 13.9588
   Video 6, Frame 3371, Value 14.3468
   Video 6, Frame 3372, Value 14.2559
   Video 6, Frame 3384, Value 14.0017
   Video 8, Frame 1924, Value 14.0786
   Video 8, Frame 2052, Value 14.2501
   Video 8, Frame 2053, Value 14.6541
   Video 8, Frame 2061, Value 14.2189
   Video 8, Frame 2062, Value 14.2793
   Video 8, Frame 2071, Value 14.6140
   Video 8, Frame 2073, Value 14.3565
   Video 8, Frame 2074, Value 14.6965
   Video 8, Frame 2075, Value 15.2159
   Video 8, Frame 2076, Value 14.5703
   Video 8, Frame 2077, Value 14.4349
   Video 8, Frame 2082, Value 14.1700
   Video 8, Frame 2087, Value 14.2042
   Video 8, Frame 2088, Value 14.6415
   Video 8, Frame 2089, Value 14.1617
   Video 8, Frame 2090, Value 14.7981
   Video 16, Frame 850, Value 14.3931
   Video 16, Frame 852, Value 13.9880
   Video 20, Frame 1075, Value 13.9968
   Video 20, Frame 1076, Value 14.0273
   Video 20, Frame 1077, Value 13.9807
   Video 20, Frame 1078, Value 14.2019
   Video 20, Frame 1079, Value 14.6090
   Video 20, Frame 1085, Value 14.1616
   Video 20, Frame 1093, Value 14.8067
   Video 20, Frame 1095, Value 14.5797
   Video 20, Frame 1098, Value 14.2110
   Video 20, Frame 1101, Value 14.0723
   Video 20, Frame 1127, Value 14.1466
   Video 20, Frame 1136, Value 14.6089
   Video 20, Frame 1138, Value 14.2298
   Video 22, Frame 881, Value 14.2418
   Video 22, Frame 883, Value 14.6360
   Video 22, Frame 884, Value 14.2759
   Video 22, Frame 885, Value 14.1652
   Video 25, Frame 1161, Value 14.1823
   Video 25, Frame 1162, Value 14.1465
   Video 25, Frame 1467, Value 14.3470
   Video 29, Frame 1455, Value 14.0510
   Video 35, Frame 1999, Value 14.2571
   Video 35, Frame 2075, Value 14.4676
   Video 35, Frame 2087, Value 14.0216
   Video 35, Frame 2088, Value 14.0642
   Video 35, Frame 2125, Value 14.2317
   Video 35, Frame 2126, Value 14.4455
   Video 35, Frame 2127, Value 14.6739
   Video 35, Frame 2128, Value 14.0193
   Video 35, Frame 2153, Value 13.9931
--------------------------------------------------
Neuron 32 → max=29.8910, min=0.0000, thr=26.9019
   Video 20, Frame 65, Value 27.7991
   Video 20, Frame 66, Value 27.5948
   Video 20, Frame 67, Value 27.0146
   Video 20, Frame 68, Value 29.5217
   Video 20, Frame 69, Value 29.8057
   Video 20, Frame 70, Value 29.8910
   Video 20, Frame 71, Value 28.2894
   Video 20, Frame 72, Value 28.8326
   Video 20, Frame 73, Value 29.1957
   Video 20, Frame 74, Value 29.3688
   Video 20, Frame 75, Value 29.4318
   Video 20, Frame 76, Value 28.5889
   Video 20, Frame 77, Value 28.7975
   Video 20, Frame 78, Value 28.0588
--------------------------------------------------
Neuron 33 → max=18.7903, min=0.0000, thr=16.9113
   Video 20, Frame 68, Value 17.3305
   Video 20, Frame 69, Value 17.5026
   Video 20, Frame 179, Value 17.9376
   Video 20, Frame 180, Value 17.3095
   Video 20, Frame 181, Value 18.0417
   Video 20, Frame 183, Value 17.7196
